case,implementation,threads,rep,time_us,seed
2,rwlock,8,0,36715,12345
2,rwlock,8,1,36738,12345
2,rwlock,8,2,38863,12345
2,rwlock,8,3,36293,12345
2,rwlock,8,4,35647,12345
2,rwlock,8,5,36934,12345
2,rwlock,8,6,35272,12345
2,rwlock,8,7,36303,12345
2,rwlock,8,8,35280,12345
2,rwlock,8,9,36062,12345
3,serial,1,0,32118,12345
3,serial,1,1,34118,12345
3,serial,1,2,34193,12345
3,serial,1,3,34531,12345
3,serial,1,4,34992,12345
3,serial,1,5,34826,12345
3,serial,1,6,33811,12345
3,serial,1,7,35438,12345
3,serial,1,8,33555,12345
3,serial,1,9,33830,12345
3,mutex,1,0,30719,12345
3,mutex,1,1,32523,12345
3,mutex,1,2,32925,12345
3,mutex,1,3,33574,12345
3,mutex,1,4,33559,12345
3,mutex,1,5,33287,12345
3,mutex,1,6,31836,12345
3,mutex,1,7,36078,12345
3,mutex,1,8,32314,12345
3,mutex,1,9,31961,12345
3,rwlock,1,0,28547,12345
3,rwlock,1,1,33775,12345
3,rwlock,1,2,32315,12345
3,rwlock,1,3,33766,12345
3,rwlock,1,4,32612,12345
3,rwlock,1,5,32772,12345
3,rwlock,1,6,32849,12345
3,rwlock,1,7,33140,12345
3,rwlock,1,8,32811,12345
3,rwlock,1,9,34270,12345
3,mutex,2,0,56412,12345
3,mutex,2,1,64561,12345
3,mutex,2,2,71020,12345
3,mutex,2,3,68974,12345
3,mutex,2,4,69457,12345
3,mutex,2,5,70499,12345
3,mutex,2,6,68881,12345
3,mutex,2,7,71017,12345
3,mutex,2,8,68451,12345
3,mutex,2,9,68650,12345
3,rwlock,2,0,105252,12345
3,rwlock,2,1,112382,12345
3,rwlock,2,2,105389,12345
3,rwlock,2,3,113620,12345
3,rwlock,2,4,110334,12345
3,rwlock,2,5,111510,12345
3,rwlock,2,6,106201,12345
3,rwlock,2,7,107353,12345
3,rwlock,2,8,106669,12345
3,rwlock,2,9,103866,12345
3,mutex,4,0,75758,12345
3,mutex,4,1,81486,12345
3,mutex,4,2,84411,12345
3,mutex,4,3,86538,12345
3,mutex,4,4,82138,12345
3,mutex,4,5,77122,12345
3,mutex,4,6,84379,12345
3,mutex,4,7,86676,12345
3,mutex,4,8,83441,12345
3,mutex,4,9,85915,12345
3,rwlock,4,0,109575,12345
3,rwlock,4,1,112742,12345
3,rwlock,4,2,112120,12345
3,rwlock,4,3,112286,12345
3,rwlock,4,4,112384,12345
3,rwlock,4,5,109677,12345
3,rwlock,4,6,115339,12345
3,rwlock,4,7,117540,12345
3,rwlock,4,8,102452,12345
3,rwlock,4,9,110446,12345
3,mutex,8,0,95442,12345
3,mutex,8,1,100698,12345
3,mutex,8,2,95482,12345
3,mutex,8,3,95585,12345
3,mutex,8,4,91647,12345
3,mutex,8,5,94388,12345
3,mutex,8,6,96880,12345
3,mutex,8,7,92114,12345
3,mutex,8,8,92763,12345
3,mutex,8,9,94321,12345
3,rwlock,8,0,119594,12345
3,rwlock,8,1,124482,12345
3,rwlock,8,2,121985,12345
3,rwlock,8,3,125609,12345
3,rwlock,8,4,124064,12345
3,rwlock,8,5,125192,12345
3,rwlock,8,6,126643,12345
3,rwlock,8,7,125147,12345
3,rwlock,8,8,123680,12345
3,rwlock,8,9,123834,12345
